,date,fold,y_true,kmeans_state,hmm_state,kmeans_prob,hmm_prob_hard,hmm_prob_soft,kmeans_risk_rank,train_event_rate_x,hmm_risk_rank,train_event_rate_y,price
63,2009-04-03,1,0,2,2,0.16,0.1424657534246575,0.1424657534246666,3,0.16,3,0.1424657534246575,1283.75
64,2009-04-06,1,0,2,2,0.16,0.1424657534246575,0.1424657534246613,3,0.16,3,0.1424657534246575,1297.8499755859375
65,2009-04-07,1,0,2,2,0.16,0.1424657534246575,0.1424657534246644,3,0.16,3,0.1424657534246575,1300.0999755859375
66,2009-04-08,1,0,2,2,0.16,0.1424657534246575,0.1424657534244332,3,0.16,3,0.1424657534246575,1262.0699462890625
67,2009-04-09,1,0,2,2,0.16,0.1424657534246575,0.1424657534246617,3,0.16,3,0.1424657534246575,1316.3499755859375
68,2009-04-10,1,0,2,2,0.16,0.1424657534246575,0.1424657534246577,3,0.16,3,0.1424657534246575,1336.0400390625
69,2009-04-13,1,0,2,2,0.16,0.1424657534246575,0.1424657534246576,3,0.16,3,0.1424657534246575,1338.260009765625
70,2009-04-14,1,0,2,2,0.16,0.1424657534246575,0.1424657534246576,3,0.16,3,0.1424657534246575,1342.6300048828125
71,2009-04-15,1,0,2,2,0.16,0.1424657534246575,0.1424657534246597,3,0.16,3,0.1424657534246575,1333.0899658203125
72,2009-04-16,1,0,2,2,0.16,0.1424657534246575,0.1424657534246576,3,0.16,3,0.1424657534246575,1336.719970703125
73,2009-04-17,1,0,2,2,0.16,0.1424657534246575,0.1424657534246584,3,0.16,3,0.1424657534246575,1329.0
74,2009-04-20,1,0,2,2,0.16,0.1424657534246575,0.1424657534246584,3,0.16,3,0.1424657534246575,1336.3900146484375
75,2009-04-21,1,0,2,2,0.16,0.1424657534246575,0.1424657534246588,3,0.16,3,0.1424657534246575,1336.81005859375
76,2009-04-22,1,0,2,2,0.16,0.1424657534246575,0.1424657534246576,3,0.16,3,0.1424657534246575,1356.02001953125
77,2009-04-23,1,0,2,2,0.16,0.1424657534246575,0.1424657534246575,3,0.16,3,0.1424657534246575,1368.800048828125
78,2009-04-24,1,0,2,2,0.16,0.1424657534246575,0.1424657534246576,3,0.16,3,0.1424657534246575,1354.0999755859375
79,2009-04-27,1,0,2,2,0.16,0.1424657534246575,0.1424657534246255,3,0.16,3,0.1424657534246575,1339.8299560546875
80,2009-04-28,1,0,2,2,0.16,0.1424657534246575,0.1424657534241679,3,0.16,3,0.1424657534246575,1300.239990234375
81,2009-04-29,1,0,2,2,0.16,0.1424657534246575,0.1424657534246773,3,0.16,3,0.1424657534246575,1338.4200439453125
82,2009-04-30,1,0,2,2,0.16,0.1424657534246575,0.1424657534246577,3,0.16,3,0.1424657534246575,1369.3599853515625
83,2009-05-04,1,0,2,2,0.16,0.1424657534246575,0.1424657534246575,3,0.16,3,0.1424657534246575,1397.9200439453125
84,2009-05-06,1,0,2,2,0.16,0.1424657534246575,0.1424657534246581,3,0.16,3,0.1424657534246575,1393.449951171875
85,2009-05-07,1,0,2,2,0.16,0.1424657534246575,0.1424657534246577,3,0.16,3,0.1424657534246575,1401.0799560546875
86,2009-05-08,1,0,2,2,0.16,0.1424657534246575,0.1424657534246577,3,0.16,3,0.1424657534246575,1412.1300048828125
87,2009-05-11,1,0,2,2,0.16,0.1424657534246575,0.1424657534246576,3,0.16,3,0.1424657534246575,1415.1600341796875
88,2009-05-12,1,0,2,2,0.16,0.1424657534246575,0.1424657534246589,3,0.16,3,0.1424657534246575,1403.510009765625
89,2009-05-13,1,0,2,2,0.16,0.1424657534246575,0.1424657534246579,3,0.16,3,0.1424657534246575,1414.52001953125
90,2009-05-14,1,0,2,2,0.16,0.1424657534246575,0.1424657534246782,3,0.16,3,0.1424657534246575,1380.949951171875
91,2009-05-15,1,0,2,2,0.16,0.1424657534246575,0.1424657534246307,3,0.16,3,0.1424657534246575,1391.72998046875
92,2009-05-18,1,0,2,2,0.16,0.1424657534246575,0.1424657534246424,3,0.16,3,0.1424657534246575,1386.6800537109375
93,2009-05-19,1,0,2,2,0.16,0.1424657534246575,0.1424657534246575,3,0.16,3,0.1424657534246575,1428.2099609375
94,2009-05-20,1,0,2,2,0.16,0.1424657534246575,0.1424657534246575,3,0.16,3,0.1424657534246575,1435.699951171875
95,2009-05-21,1,0,2,2,0.16,0.1424657534246575,0.1424657534246576,3,0.16,3,0.1424657534246575,1421.6500244140625
96,2009-05-22,1,0,2,2,0.16,0.1424657534246575,0.1424657534246577,3,0.16,3,0.1424657534246575,1403.75
97,2009-05-25,1,0,2,2,0.16,0.1424657534246575,0.1424657534246628,3,0.16,3,0.1424657534246575,1400.9000244140625
98,2009-05-26,1,0,2,2,0.16,0.1424657534246575,0.1424657534246506,3,0.16,3,0.1424657534246575,1372.0400390625
99,2009-05-27,1,0,2,2,0.16,0.1424657534246575,0.1424657534243602,3,0.16,3,0.1424657534246575,1362.02001953125
100,2009-05-28,1,0,2,2,0.16,0.1424657534246575,0.1424657534246591,3,0.16,3,0.1424657534246575,1392.1700439453125
101,2009-05-29,1,0,2,2,0.16,0.1424657534246575,0.142465753424658,3,0.16,3,0.1424657534246575,1395.8900146484375
102,2009-06-01,1,0,2,2,0.16,0.1424657534246575,0.1424657534246575,3,0.16,3,0.1424657534246575,1415.0999755859375
